geo_level	geo_id	pathogen	best_lag_weeks	corr_at_best	n_pairs_at_best	notes
state	AK	COVID-19	6	0.04039844201230619	164	Lag definition: corr( z(log10(1+NWSS)_{t-lag}), z(NHSN admissions_t) ); positive lag => wastewater leads admissions.
state	AK	Influenza	-4	0.27735147264531307	146	Lag definition: corr( z(log10(1+NWSS)_{t-lag}), z(NHSN admissions_t) ); positive lag => wastewater leads admissions.
state	AK	RSV	-3	0.1608600805972963	147	Lag definition: corr( z(log10(1+NWSS)_{t-lag}), z(NHSN admissions_t) ); positive lag => wastewater leads admissions.
state	AL	COVID-19	2	0.0802474464680374	168	Lag definition: corr( z(log10(1+NWSS)_{t-lag}), z(NHSN admissions_t) ); positive lag => wastewater leads admissions.
state	AL	Influenza	-1	0.3134837843014032	169	Lag definition: corr( z(log10(1+NWSS)_{t-lag}), z(NHSN admissions_t) ); positive lag => wastewater leads admissions.
state	AL	RSV	-2	0.41313915590961603	168	Lag definition: corr( z(log10(1+NWSS)_{t-lag}), z(NHSN admissions_t) ); positive lag => wastewater leads admissions.
state	AR	COVID-19	1	0.27432410306887883	169	Lag definition: corr( z(log10(1+NWSS)_{t-lag}), z(NHSN admissions_t) ); positive lag => wastewater leads admissions.
state	AR	Influenza	-4	0.26976309319441893	149	Lag definition: corr( z(log10(1+NWSS)_{t-lag}), z(NHSN admissions_t) ); positive lag => wastewater leads admissions.
state	AR	RSV	-3	0.2229676322560646	151	Lag definition: corr( z(log10(1+NWSS)_{t-lag}), z(NHSN admissions_t) ); positive lag => wastewater leads admissions.
state	AZ	COVID-19	5	0.5010488035612519	165	Lag definition: corr( z(log10(1+NWSS)_{t-lag}), z(NHSN admissions_t) ); positive lag => wastewater leads admissions.
state	AZ	Influenza	6	0.3877193922033748	123	Lag definition: corr( z(log10(1+NWSS)_{t-lag}), z(NHSN admissions_t) ); positive lag => wastewater leads admissions.
state	AZ	RSV	-3	0.23002229532509166	126	Lag definition: corr( z(log10(1+NWSS)_{t-lag}), z(NHSN admissions_t) ); positive lag => wastewater leads admissions.
