context	geo_id	pathogen	horizon_weeks	test_weeks	rmse_ar	rmse_fusion	delta_rmse_fusion_minus_ar	fusion_better_than_ar	n_weeks	median_samples_per_week	mean_samples_per_week	p10_samples	p90_samples	median_population_coverage	mean_population_coverage	coverage_tertile_median_population_coverage	coverage_tertile_median_samples
early_warning	AK	COVID-19	1	52	0.1374008043318105	0.1567881690108091	0.019387364678998598	0	170	10.0	9.776470588235295	5.0	15.0	0.5980649879163688	0.5493802591540322	high	low
early_warning	AK	Influenza	1	52	0.1795940233054366	0.2527596755971996	0.07316565229176297	0	150	9.0	9.046666666666667	3.0	15.099999999999994	0.4240824459770614	0.5012781373719031	high	low
early_warning	AK	RSV	1	52	0.1377898150814163	0.3337663048836482	0.19597648980223192	0	150	9.0	9.066666666666666	3.0	16.0	0.4240824459770614	0.497898164031103	high	low
early_warning	AL	COVID-19	1	52	0.0967837026496878	0.1160551371531682	0.0192714345034804	0	170	21.5	26.011764705882353	16.0	43.0	0.1232609782871953	0.10983594968704036	low	mid
early_warning	AL	Influenza	1	52	0.0972256923388338	0.154484931927283	0.057259239588449196	0	170	18.0	23.13529411764706	10.900000000000002	43.0	0.1232609782871953	0.10520226202571059	low	mid
early_warning	AL	RSV	1	52	0.0587825491584717	0.1945968066204582	0.1358142574619865	0	170	18.5	24.03529411764706	13.0	43.0	0.1232609782871953	0.10643614385170212	low	mid
early_warning	AR	COVID-19	1	52	0.147784407631837	0.2381063647615571	0.0903219571297201	0	170	15.0	18.794117647058822	10.900000000000002	40.0	0.047825942950576	0.0592490820780473	low	mid
early_warning	AR	Influenza	1	52	0.1726177082725138	0.1776658809044882	0.005048172631974407	0	153	14.0	11.69281045751634	3.0	15.0	0.0396275846554279	0.03386114664108123	low	low
early_warning	AR	RSV	1	52	0.1465954416450748	0.2501256717492104	0.10353023010413562	0	154	14.0	11.746753246753247	3.0	15.0	0.0396275846554279	0.03377116513198435	low	low
early_warning	AZ	COVID-19	1	52	0.0474558989668262	0.0717629556307389	0.024307056663912696	0	170	51.0	50.55294117647059	37.0	63.0	0.4920196106758273	0.4827924604038165	high	high
