context	horizon_weeks	coverage_tertile_median_population_coverage	n_series	n_unique_geos	mean_delta_rmse	median_delta_rmse	mean_rmse_ar	mean_rmse_fusion	win_rate	median_samples_per_week	median_population_coverage
early_warning	1	high	50	21	0.038950982553746655	0.019268795672101796	0.12073351132342207	0.15968449387716874	0.1	41.0	0.5214212376427049
early_warning	1	low	48	23	0.06417094427143996	0.03879324665854099	0.16853631516646086	0.23270725943790083	0.10416666666666667	13.75	0.0587428693770299
early_warning	1	mid	50	24	0.03446209599733826	0.022240388916319707	0.14979643564718254	0.18425853164452083	0.12	25.0	0.2037536554252375
early_warning	2	high	50	21	0.05798102739925799	0.02975502895559575	0.16438992394581922	0.22237095134507723	0.08	41.0	0.5214212376427049
early_warning	2	low	48	23	0.09561572826975547	0.054253591703190926	0.2263669984847313	0.32198272675448675	0.125	13.75	0.0587428693770299
early_warning	2	mid	50	24	0.04888103086895504	0.026281182072162637	0.19929613082911352	0.24817716169806858	0.14	25.0	0.2037536554252375
early_warning	3	high	50	21	0.07554161036195647	0.04098371810715954	0.20741383046963108	0.2829554408315876	0.08	41.0	0.5214212376427049
early_warning	3	low	48	23	0.12967681301777526	0.07897813771447729	0.2805194848444071	0.4101962978621823	0.14583333333333334	13.75	0.0587428693770299
early_warning	3	mid	50	24	0.06376825801840816	0.045566751574108846	0.24550306293436455	0.3092713209527727	0.14	25.0	0.2037536554252375
early_warning	4	high	50	21	0.08790042409121947	0.0422223157516892	0.2439198243574497	0.33182024844866914	0.08	41.0	0.5214212376427049
early_warning	4	low	48	23	0.16123731760470844	0.09770894286511479	0.3253656506329437	0.4866029682376521	0.14583333333333334	13.75	0.0587428693770299
early_warning	4	mid	50	24	0.0804384444151646	0.058197854196225494	0.2839921563158757	0.3644306007310403	0.14	25.0	0.2037536554252375
with_current_y	1	high	50	21	0.02120231963372825	0.009668203544041343	0.07869772518374925	0.0999000448174775	0.08	41.0	0.5214212376427049
with_current_y	1	low	48	23	0.03645727475555562	0.020749234701198962	0.11017655775985195	0.14663383251540757	0.10416666666666667	13.75	0.0587428693770299
with_current_y	1	mid	50	24	0.021677446299242013	0.009981273069125596	0.1016451792934427	0.12332262559268471	0.12	25.0	0.2037536554252375
with_current_y	2	high	50	21	0.04146017496731389	0.0198345012041711	0.1252810006467323	0.16674117561404617	0.08	41.0	0.5214212376427049
with_current_y	2	low	48	23	0.06836826947185068	0.04064677261677152	0.17433163672145505	0.24269990619330573	0.125	13.75	0.0587428693770299
with_current_y	2	mid	50	24	0.037003639064678365	0.01891215412480326	0.15356431117223168	0.19056795023691003	0.12	25.0	0.2037536554252375
with_current_y	3	high	50	21	0.059937902047549424	0.0344868290879219	0.17033783660807203	0.23027573865562143	0.08	41.0	0.5214212376427049
with_current_y	3	low	48	23	0.10347991380005456	0.06332195226883834	0.23428802134080215	0.3377679351408567	0.125	13.75	0.0587428693770299
with_current_y	3	mid	50	24	0.050433612707013895	0.03564988557417765	0.20338039964408583	0.25381401235109974	0.18	25.0	0.2037536554252375
with_current_y	4	high	50	21	0.07558772671579063	0.03599912148976975	0.21510834782162372	0.29069607453741436	0.12	41.0	0.5214212376427049
with_current_y	4	low	48	23	0.13988478331572476	0.0822959443524903	0.2901294488274055	0.4300142321431302	0.125	13.75	0.0587428693770299
with_current_y	4	mid	50	24	0.07009916672597934	0.055245397791622554	0.2500983486240975	0.32019751535007684	0.12	25.0	0.2037536554252375
