context	horizon_weeks	svi_tertile	n_series	n_unique_geos	mean_delta_rmse	median_delta_rmse	mean_rmse_ar	mean_rmse_fusion	win_rate
early_warning	1	high	51	17	0.049942877323364686	0.0329637022642135	0.15878294330265866	0.20872582062602332	0.11764705882352941
early_warning	1	low	46	16	0.0575296148333651	0.026042820305602454	0.1771386412727732	0.23466825610613828	0.043478260869565216
early_warning	1	mid	51	17	0.03053745542660727	0.0187779778109231	0.10529280136347438	0.13583025679008168	0.1568627450980392
early_warning	2	high	51	17	0.07055290330996912	0.03929113201924911	0.22041227437716976	0.29096517768713887	0.13725490196078433
early_warning	2	low	46	16	0.08680161977412597	0.049915247013814	0.23501055188151443	0.3218121716556404	0.043478260869565216
early_warning	2	mid	51	17	0.04591343709687635	0.023630779469683998	0.1372236722789886	0.18313710937586497	0.1568627450980392
early_warning	3	high	51	17	0.09054129247058013	0.04673141519918589	0.2736761737817123	0.36421746625229245	0.1568627450980392
early_warning	3	low	46	16	0.11921765086698997	0.06257480405676866	0.2935630470696759	0.41278069793666583	0.043478260869565216
early_warning	3	mid	51	17	0.06055612917628074	0.028152406303565497	0.169595978718802	0.23015210789508275	0.1568627450980392
early_warning	4	high	51	17	0.10941295874639305	0.05353744214231998	0.3143453695927812	0.42375832833917426	0.1568627450980392
early_warning	4	low	46	16	0.1453416015529922	0.07589983704539513	0.3452945184661556	0.49063612001914775	0.06521739130434782
early_warning	4	mid	51	17	0.07628549221257885	0.03442236305222082	0.19799977579161893	0.27428526800419784	0.13725490196078433
with_current_y	1	high	51	17	0.03046332858743312	0.0146313483466949	0.09844655704301009	0.1289098856304432	0.09803921568627451
with_current_y	1	low	46	16	0.030763615846553814	0.01547250950806791	0.12055108862856957	0.15131470447512338	0.08695652173913043
with_current_y	1	mid	51	17	0.018140811725776827	0.008772850539755205	0.0733234413769564	0.09146425310273323	0.11764705882352941
with_current_y	2	high	51	17	0.05300990883562997	0.026345568269702198	0.16530380281150167	0.21831371164713162	0.13725490196078433
with_current_y	2	low	46	16	0.05977579646682552	0.036380303003891515	0.18213883830384386	0.24191463477066935	0.043478260869565216
with_current_y	2	mid	51	17	0.034346581336418484	0.016726893750163896	0.10786869898460076	0.14221528032101924	0.13725490196078433
with_current_y	3	high	51	17	0.0741852313027328	0.03869783025784071	0.22898501442864896	0.3031702457313818	0.17647058823529413
with_current_y	3	low	46	16	0.08966826905681444	0.04523700327119777	0.24064829604162843	0.33031656509844287	0.06521739130434782
with_current_y	3	mid	51	17	0.05053773386427349	0.02483519031860111	0.14085646045471353	0.19139419431898702	0.13725490196078433
with_current_y	4	high	51	17	0.09707091967125747	0.0520509411667395	0.28422229423901507	0.38129321391027254	0.13725490196078433
with_current_y	4	low	46	16	0.11839116082998997	0.06846712826380993	0.30026654616368065	0.41865770699367066	0.08695652173913043
with_current_y	4	mid	51	17	0.07063145038881602	0.0358234065834703	0.17409706345651857	0.2447285138453346	0.13725490196078433
