metric	origin_week_end	horizon_weeks	n_commits_evaluated	final_pred	tol_used	first_commit_time_utc	stable_commit_time_utc	days_to_forecast_stable	max_abs_diff_to_final_pred
Respiratory illness hospitalizations	2026-03-14	1	5	8.953152658829659	0.08953152658829659	2026-03-19T15:57:36+00:00	2026-04-16T17:53:42+00:00	28	0.52221397550624
Respiratory illness hospitalizations	2026-03-21	1	4	8.82902136086028	0.0882902136086028	2026-03-26T18:02:56+00:00	2026-04-09T18:00:59+00:00	13	0.2406236128457752
Respiratory illness hospitalizations	2026-03-21	2	4	8.624244804114849	0.08624244804114849	2026-03-26T18:02:56+00:00	2026-04-09T18:00:59+00:00	13	0.1070985909569905
Respiratory illness hospitalizations	2026-03-28	1	3	8.305174097559824	0.08305174097559824	2026-04-02T18:24:14+00:00	2026-04-02T18:24:14+00:00	0	0.0674469604367349
Respiratory illness hospitalizations	2026-03-28	2	3	8.403601052829764	0.08403601052829764	2026-04-02T18:24:14+00:00	2026-04-02T18:24:14+00:00	0	0.0461203118292417
Respiratory illness hospitalizations	2026-04-04	1	2	8.626321017374	0.08626321017374	2026-04-09T18:00:59+00:00	2026-04-09T18:00:59+00:00	0	0.055984194564191
Respiratory illness visits	2026-03-14	1	5	9.396878264998954	0.09396878264998954	2026-03-19T15:57:36+00:00	2026-04-09T18:00:59+00:00	21	0.2259644469330481
Respiratory illness visits	2026-03-21	1	4	9.5316443727442	0.095316443727442	2026-03-26T18:02:56+00:00	2026-04-09T18:00:59+00:00	13	0.4121109389464816
Respiratory illness visits	2026-03-21	2	4	8.818057080847069	0.08818057080847069	2026-03-26T18:02:56+00:00	2026-04-09T18:00:59+00:00	13	0.8144643658968871
Respiratory illness visits	2026-03-28	1	3	9.883850391383293	0.09883850391383293	2026-04-02T18:24:14+00:00	2026-04-16T17:53:42+00:00	13	0.5715695402514935
Respiratory illness visits	2026-03-28	2	3	8.553375612293136	0.08553375612293136	2026-04-02T18:24:14+00:00	2026-04-16T17:53:42+00:00	13	1.191875664192919
Respiratory illness visits	2026-04-04	1	2	10.099030150426923	0.10099030150426924	2026-04-09T18:00:59+00:00	2026-04-09T18:00:59+00:00	0	0.0744647259195954
