subset	context	horizon_weeks	pathogen	n_series	mean_rmse_naive_persistence	mean_rmse_ridge_ar	mean_rmse_ridge_fusion	mean_rmse_ridge_ww_only	frac_fusion_better_than_ar
high_fidelity	early_warning	1	COVID-19	5	0.002418207318043721	0.0024395243774753155	0.002419751247190411	0.00635727041522272	0.6
high_fidelity	early_warning	1	Influenza	5	0.010555071982903346	0.00952348431461562	0.013856912043356845	0.013458151708906579	0.6
high_fidelity	early_warning	1	RSV	4	0.001041515095938284	0.0012040128136981464	0.0016940426667445547	0.0026853414413741824	0.25
high_fidelity	early_warning	2	COVID-19	5	0.0032767132109044472	0.003497948321811312	0.003317581935601184	0.006204033002560909	0.6
high_fidelity	early_warning	2	Influenza	5	0.012666395349683876	0.010386356595809745	0.01612656318776966	0.013095289588428516	0.4
high_fidelity	early_warning	2	RSV	4	0.0012987318172187848	0.0015017503114282964	0.0021290532847433163	0.002750840785493612	0.25
high_fidelity	early_warning	3	COVID-19	5	0.004032566801468841	0.0045534088628780365	0.004233940682157524	0.006113847295034984	0.8
high_fidelity	early_warning	3	Influenza	5	0.014661321172759775	0.010629187249724533	0.017036035773553827	0.012422339529777206	0.4
high_fidelity	early_warning	3	RSV	4	0.00159497694300676	0.0017983573869339595	0.0024228733384402223	0.0027942886384799558	0.25
high_fidelity	early_warning	4	COVID-19	5	0.004696301020772557	0.005523816789320588	0.005051009111831243	0.006062567227214976	1.0
high_fidelity	early_warning	4	Influenza	5	0.016873459242310117	0.010819881082826456	0.016506283354131006	0.012213036306811297	0.4
high_fidelity	early_warning	4	RSV	4	0.0019325561297622751	0.002106475925367835	0.0026675494512791802	0.0028881209805008265	0.25
high_fidelity	with_current_ed	1	COVID-19	5	0.0014654700729349577	0.0014347746765367578	0.0014365903222132064	0.00635727041522272	0.6
high_fidelity	with_current_ed	1	Influenza	5	0.006800757675818371	0.006293791965854195	0.008172507632040412	0.013458151708906579	0.4
high_fidelity	with_current_ed	1	RSV	4	0.0007290225537175595	0.0008200725632089336	0.0010820682343502031	0.0026853414413741824	0.25
high_fidelity	with_current_ed	2	COVID-19	5	0.002418207318043721	0.002519927996866074	0.002465037392396699	0.006204033002560909	0.6
high_fidelity	with_current_ed	2	Influenza	5	0.010555071982903346	0.009429043851621022	0.013599618968100153	0.013095289588428516	0.4
high_fidelity	with_current_ed	2	RSV	4	0.001041515095938284	0.0011968711215429354	0.0016366732747577868	0.002750840785493612	0.25
high_fidelity	with_current_ed	3	COVID-19	5	0.0032767132109044472	0.0036492071833071106	0.0035015307500028832	0.006113847295034984	0.8
high_fidelity	with_current_ed	3	Influenza	5	0.012666395349683876	0.010193698117791066	0.01774627477985397	0.012422339529777206	0.4
high_fidelity	with_current_ed	3	RSV	4	0.0012987318172187848	0.0014961680776110057	0.0019858910014498004	0.0027942886384799558	0.25
high_fidelity	with_current_ed	4	COVID-19	5	0.004032566801468841	0.004710102239249609	0.0044476729338547225	0.006062567227214976	1.0
high_fidelity	with_current_ed	4	Influenza	5	0.014661321172759775	0.010241531401381041	0.018568406320447213	0.012213036306811297	0.4
high_fidelity	with_current_ed	4	RSV	4	0.00159497694300676	0.0018090304562760375	0.002289166272523317	0.0028881209805008265	0.25
