subset	context	horizon_weeks	pathogen	ed_source_id	n_series	mean_delta_rmse	ci_lo_mean_delta_rmse	ci_hi_mean_delta_rmse	fusion_win_rate_rmse	ci_lo_fusion_win_rate_rmse	ci_hi_fusion_win_rate_rmse	mean_delta_mae	ci_lo_mean_delta_mae	ci_hi_mean_delta_mae	fusion_win_rate_mae	ci_lo_fusion_win_rate_mae	ci_hi_fusion_win_rate_mae	mean_delta_mape	ci_lo_mean_delta_mape	ci_hi_mean_delta_mape	fusion_win_rate_mape	ci_lo_fusion_win_rate_mape	ci_hi_fusion_win_rate_mape	frac_mape_unstable	bootstrap_n	bootstrap_seed	ci_alpha
high_fidelity	early_warning	1	COVID-19	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	6.45490398238333e-05	-0.0001595736244491999	0.00047734820659729987	0.6666666666666666	0.0	1.0	-4.177716695330007e-05	-0.00024474679326020004	0.0002882515668235998	0.6666666666666666	0.0	1.0	0.10170704267775121	-0.10842081020696792	0.5064957138225945	0.6666666666666666	0.0	1.0	0.0	5000	7	0.05
high_fidelity	early_warning	1	COVID-19	WA_RESP_ED_HOSP_CSV	2	-0.00014625638544805	-0.00032108777609600025	2.8575005199900274e-05	0.5	0.0	1.0	1.5699020096000263e-06	-0.00021131852089609996	0.0002144583249153	0.5	0.0	1.0	-0.05173071950979874	-0.10365150596377459	0.00019006694417711412	0.5	0.0	1.0	0.0	5000	7	0.05
high_fidelity	early_warning	1	Influenza	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.006883844988632734	-0.0011223254596420002	0.021911788008440302	0.6666666666666666	0.0	1.0	0.004024381674940333	-0.0010013792978602002	0.012702278315505402	0.3333333333333333	0.0	1.0	0.26837315670422596	-0.23548037034124536	1.0091325827832462	0.3333333333333333	0.0	1.0	0.0	5000	7	0.05
high_fidelity	early_warning	1	Influenza	WA_RESP_ED_HOSP_CSV	2	0.0005078018389040001	-0.0008527113613614997	0.0018683150391694998	0.5	0.0	1.0	-9.797160205919967e-05	-0.00033897857502669963	0.0001430353709083003	0.5	0.0	1.0	-6.86311534690851	-13.066320741644649	-0.6599099521723719	1.0	1.0	1.0	0.5	5000	7	0.05
high_fidelity	early_warning	1	RSV	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.0004801087409366667	-6.370214162460008e-05	0.0008642267059164	0.3333333333333333	0.0	1.0	0.0003107601590773	-5.845273448159996e-05	0.0005226734439772	0.3333333333333333	0.0	1.0	0.033258491299762584	-0.24136357639249995	0.17640063512062598	0.3333333333333333	0.0	1.0	0.0	5000	7	0.05
high_fidelity	early_warning	2	COVID-19	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	-8.090297107250007e-05	-0.0003228561853835998	0.00033884458713639987	0.6666666666666666	0.0	1.0	-0.0002903119929581334	-0.0004976748420096001	7.859891473490027e-05	0.6666666666666666	0.0	1.0	-0.012116185248506661	-0.30758605783404724	0.5070160232477614	0.6666666666666666	0.0	1.0	0.0	5000	7	0.05
high_fidelity	early_warning	2	COVID-19	WA_RESP_ED_HOSP_CSV	2	-0.00032956150891659997	-0.0006732229334643	1.4099915631100076e-05	0.5	0.0	1.0	-0.00029161411186135	-0.0005852552593635001	2.0270356408001386e-06	0.5	0.0	1.0	-0.0973643362929929	-0.23419709579102987	0.03946842320504407	0.5	0.0	1.0	0.0	5000	7	0.05
high_fidelity	early_warning	2	Influenza	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.008864375280248233	-0.0013519892438826012	0.028353230594081697	0.6666666666666666	0.0	1.0	0.005053978186262101	-0.0015035771764609993	0.0159730273517132	0.3333333333333333	0.0	1.0	0.33832779581868166	-0.27698420528735634	1.1979690261394735	0.3333333333333333	0.0	1.0	0.0	5000	7	0.05
high_fidelity	early_warning	2	Influenza	WA_RESP_ED_HOSP_CSV	2	0.0010539535595274507	0.0005753155977055004	0.001532591521349401	0.0	0.0	0.0	0.00048000429471655023	0.00040859621108530007	0.0005514123783478004	0.0	0.0	0.0	-7.395178352014657	-14.12116710539945	-0.6691895986298624	1.0	1.0	1.0	1.0	5000	7	0.05
high_fidelity	early_warning	2	RSV	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.0005261575995743	-0.0001112443023453002	0.0010232397237206	0.3333333333333333	0.0	1.0	0.0003471794052358667	-6.444130674989994e-05	0.0005743630654276001	0.3333333333333333	0.0	1.0	0.08567268715793756	-0.21617934071901956	0.3437994850694126	0.3333333333333333	0.0	1.0	0.0	5000	7	0.05
high_fidelity	early_warning	3	COVID-19	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	-0.0002626324846686	-0.000592401350922	0.00016769992149689994	0.6666666666666666	0.0	1.0	-0.0006297952903055	-0.0008261088191552001	-0.0002603765788278	1.0	1.0	1.0	-0.21227872188462257	-0.5390464821601948	0.35400593087749765	0.6666666666666666	0.0	1.0	0.0	5000	7	0.05
high_fidelity	early_warning	3	COVID-19	WA_RESP_ED_HOSP_CSV	2	-0.00040472172479829975	-0.0007760853713557996	-3.335807824079995e-05	1.0	1.0	1.0	-0.00037138033999245014	-0.0007273409864750001	-1.5419693509900138e-05	1.0	1.0	1.0	-0.12635960434138643	-0.25375137806497416	0.0010321693822012978	0.5	0.0	1.0	0.0	5000	7	0.05
high_fidelity	early_warning	3	Influenza	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.009953860005152767	-0.001143061577767399	0.0314912138368537	0.6666666666666666	0.0	1.0	0.005498146325526566	-0.0015667115577996	0.017978208859207	0.3333333333333333	0.0	1.0	0.5199088043757599	-0.2879630455944766	1.7617409423276815	0.3333333333333333	0.0	1.0	0.0	5000	7	0.05
high_fidelity	early_warning	3	Influenza	WA_RESP_ED_HOSP_CSV	2	0.0010863313018440505	0.0007030670142204	0.001469595589467701	0.0	0.0	0.0	0.0006512716033161498	0.00047296026818739994	0.0008295829384448996	0.0	0.0	0.0	-6.18155073251458	-13.06637385696856	0.7032723919394002	0.5	0.0	1.0	1.0	5000	7	0.05
high_fidelity	early_warning	3	RSV	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.00042217109155493344	-0.00012222653456189997	0.0009715836512265001	0.3333333333333333	0.0	1.0	0.00034669483272116664	-3.5048723023199994e-05	0.0005804473399762001	0.3333333333333333	0.0	1.0	0.32990062137372606	0.09015970790286554	0.49823845967248004	0.0	0.0	0.0	0.0	5000	7	0.05
high_fidelity	early_warning	4	COVID-19	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	-0.0005346998636499	-0.0008194177164655	-0.0002319166781168001	1.0	1.0	1.0	-0.0010467735714702333	-0.0012467887163121003	-0.0007556822297238	1.0	1.0	1.0	-0.5080953430200906	-0.738581317985474	-0.0780938459855931	1.0	1.0	1.0	0.0	5000	7	0.05
