threshold_quantile	context	pathogen	model_id	n_series	median_precision	median_recall	median_fdr	median_fpr	median_fnr	median_prevalence	mean_precision	mean_recall	mean_fdr	mean_fpr	mean_fnr
0.75	early_warning	COVID-19	ridge_ar	50	0.7735042735042735	0.43478260869565216	0.2264957264957265	0.09523809523809523	0.5652173913043478	0.17307692307692307	0.5550047452331845	0.3580505884694623	0.44499525476681545	0.12423747148109611	0.6419494115305378
0.75	early_warning	COVID-19	ridge_fusion	50	0.6666666666666666	0.38461538461538464	0.3333333333333333	0.08888888888888889	0.6153846153846154	0.17307692307692307	0.531063813813931	0.3619056855693582	0.46893618618606897	0.12099186757130863	0.6380943144306417
0.75	early_warning	Influenza	ridge_ar	49	0.5631578947368421	0.2928571428571428	0.4368421052631579	0.08792270531400967	0.7071428571428571	0.17307692307692307	0.4865726254964721	0.29181594419977247	0.5134273745035278	0.1163024592559773	0.7081840558002276
0.75	early_warning	Influenza	ridge_fusion	49	0.38095238095238093	0.3390804597701149	0.6190476190476191	0.1380952380952381	0.6609195402298851	0.17307692307692307	0.4358451847368104	0.30918318648540905	0.5641548152631897	0.1444656320147983	0.690816813514591
0.75	early_warning	RSV	ridge_ar	49	1.0	1.0	0.0	0.24089635854341734	0.0	1.0	0.9322804213260396	0.888554563408418	0.06771957867396043	0.3527017684725595	0.111445436591582
0.75	early_warning	RSV	ridge_fusion	49	1.0	1.0	0.0	0.24089635854341734	0.0	1.0	0.9343044381661553	0.901330258970924	0.06569556183384473	0.41023934583772304	0.09866974102907607
0.75	with_current_y	COVID-19	ridge_ar	50	0.875	0.43478260869565216	0.125	0.046511627906976744	0.5652173913043478	0.17307692307692307	0.6644666946809432	0.3887084685957792	0.33553330531905673	0.0937854862106335	0.6112915314042208
0.75	with_current_y	COVID-19	ridge_fusion	50	0.6904761904761905	0.5	0.30952380952380953	0.07692307692307693	0.5	0.17307692307692307	0.5726643779038195	0.41385194380865664	0.42733562209618053	0.10541272869397754	0.5861480561913434
0.75	with_current_y	Influenza	ridge_ar	49	0.75	0.3194444444444444	0.25	0.045454545454545456	0.6805555555555556	0.17307692307692307	0.572043857942908	0.3069549827041176	0.427956142057092	0.09331804615129526	0.6930450172958824
0.75	with_current_y	Influenza	ridge_fusion	49	0.6875	0.3079710144927536	0.3125	0.05952380952380952	0.6920289855072463	0.17307692307692307	0.5540079382086466	0.3029469727020683	0.4459920617913535	0.09842323998751869	0.6970530272979317
0.75	with_current_y	RSV	ridge_ar	49	1.0	1.0	0.0	0.19963369963369962	0.0	1.0	0.9446524583742629	0.8979204892659405	0.055347541625737115	0.27068903722047744	0.10207951073405952
0.75	with_current_y	RSV	ridge_fusion	49	1.0	1.0	0.0	0.14285714285714285	0.0	1.0	0.9404793226602247	0.9058188492788419	0.059520677339775306	0.3127134597215733	0.09418115072115803
0.9	early_warning	COVID-19	ridge_ar	50	0.5882352941176471	0.4	0.4117647058823529	0.08695652173913043	0.6	0.08653846153846154	0.4643678610326514	0.35195831085312	0.5356321389673487	0.09855101636739942	0.64804168914688
0.9	early_warning	COVID-19	ridge_fusion	50	0.5769230769230769	0.2774725274725275	0.4230769230769231	0.08792270531400967	0.7225274725274725	0.08653846153846154	0.42401797107679456	0.3142818470210885	0.5759820289232054	0.11021796269462916	0.6857181529789115
0.9	early_warning	Influenza	ridge_ar	49	0.4964912280701754	0.3076923076923077	0.5035087719298246	0.08695652173913043	0.6923076923076923	0.07692307692307693	0.4289819006799065	0.30599319908605827	0.5710180993200935	0.10126638670239696	0.6940068009139418
0.9	early_warning	Influenza	ridge_fusion	49	0.14285714285714285	0.3076923076923077	0.8571428571428571	0.125	0.6923076923076923	0.07692307692307693	0.35218974792145524	0.31299106067213295	0.6478102520785448	0.12310977879972265	0.687008939327867
0.9	early_warning	RSV	ridge_ar	49	0.38095238095238093	0.6538461538461539	0.6190476190476191	0.19607843137254902	0.34615384615384615	0.21153846153846154	0.41721731091332204	0.5533504815932709	0.582782689086678	0.2102133599283397	0.4466495184067291
0.9	early_warning	RSV	ridge_fusion	49	0.18181818181818182	0.6	0.8181818181818182	0.3055555555555556	0.4	0.21153846153846154	0.35492493058114777	0.5419151425606666	0.6450750694188522	0.3159635088585686	0.45808485743933336
0.9	with_current_y	COVID-19	ridge_ar	50	0.7142857142857143	0.3563218390804598	0.2857142857142857	0.020416666666666666	0.6436781609195402	0.08653846153846154	0.5987505315403866	0.3404847531038581	0.4012494684596134	0.06509826826557828	0.6595152468961418
0.9	with_current_y	COVID-19	ridge_fusion	50	0.5277777777777778	0.2967032967032967	0.4722222222222222	0.067816091954023	0.7032967032967032	0.08653846153846154	0.45702042601552406	0.33606712066673994	0.5429795739844759	0.08270248745190382	0.6639328793332601
0.9	with_current_y	Influenza	ridge_ar	49	0.6875	0.3055555555555556	0.3125	0.034482758620689655	0.6944444444444444	0.07692307692307693	0.5348690325705495	0.2989432835383611	0.46513096742945054	0.06809564468057518	0.7010567164616389
